timestamp,x,y,z
2025-02-24 14:16:54.864068500,-181.379,206.936,190.415
2025-02-24 14:16:54.867282100,-181.284,206.953,190.414
2025-02-24 14:16:54.870188900,-181.189,206.97,190.413
2025-02-24 14:16:54.873068700,-181.095,206.986,190.413
2025-02-24 14:16:54.876253700,-181.0,207.003,190.412
2025-02-24 14:16:54.879162900,-180.905,207.02,190.411
2025-02-24 14:16:54.882061600,-180.81,207.037,190.411
2025-02-24 14:16:54.885234000,-180.715,207.054,190.41
2025-02-24 14:16:54.888180100,-180.62,207.071,190.409
2025-02-24 14:16:54.891374400,-180.525,207.088,190.409
2025-02-24 14:16:54.894112900,-180.429,207.105,190.408
2025-02-24 14:16:54.897110800,-180.334,207.123,190.407
2025-02-24 14:16:54.900028900,-180.238,207.14,190.406
2025-02-24 14:16:54.903289600,-180.143,207.157,190.406
2025-02-24 14:16:54.906268000,-180.047,207.174,190.405
2025-02-24 14:16:54.909219900,-179.951,207.191,190.404
2025-02-24 14:16:54.912112300,-179.856,207.208,190.404
2025-02-24 14:16:54.915114800,-179.76,207.225,190.403
2025-02-24 14:16:54.918165700,-179.664,207.242,190.402
2025-02-24 14:16:54.921443400,-179.568,207.26,190.402
2025-02-24 14:16:54.924162700,-179.472,207.277,190.401
2025-02-24 14:16:54.927375400,-179.375,207.294,190.4
2025-02-24 14:16:54.929989100,-179.279,207.311,190.4
2025-02-24 14:16:54.933189200,-179.183,207.329,190.399
2025-02-24 14:16:54.936273500,-179.086,207.346,190.398
2025-02-24 14:16:54.939239500,-178.99,207.363,190.398
2025-02-24 14:16:54.942114900,-178.893,207.38,190.397
2025-02-24 14:16:54.945141800,-178.796,207.398,190.396
2025-02-24 14:16:54.948061400,-178.699,207.415,190.396
2025-02-24 14:16:54.951120600,-178.602,207.432,190.395
2025-02-24 14:16:54.954203000,-178.505,207.45,190.394
2025-02-24 14:16:54.957223300,-178.408,207.467,190.393
2025-02-24 14:16:54.960218800,-178.311,207.485,190.393
2025-02-24 14:16:54.963101200,-178.214,207.502,190.392
2025-02-24 14:16:54.966258100,-178.117,207.52,190.391
